

line command

to know the status of only one serveice
-->systemctl status appache2
-
to start a service
-->sudo systemctl start mysql

And enable auto start at boot time with:

-->sudo systemctl enable mysql

to know the status of all services
-->systemctl list-unit-files --type=service
--------

UNIT FILE                                    STATE           VENDOR PRESET
mdmonitor-oneshot.service                    static          -            
mdmonitor.service                            static          -            
ModemManager.service                         enabled         enabled      
modprobe@.service                            static          -            
multipathd.service                           disabled        disabled     
mysql.service                                alias           -            
mysql@.service                               alias           -            
network.service                              alias           -            
NetworkManager-dispatcher.service            enabled         disabled     
NetworkManager-wait-online.service           enabled         disabled     
NetworkManager.service                       enabled         disabled     
nfs-blkmap.service                           disabled        disabled     
nfs-idmapd.service                           static          -            
nfs-utils.service                            static          -            
nfs.service                                  disabled        disabled     
nm-cloud-setup.service                       disabled        disabled     
nmb.service                                  disabled        disabled     
nscd.service                                 enabled         enabled      
openvpn@.service                             disabled        disabled     
ostree-finalize-staged.service               static          -            
ostree-prepare-root.service                  static          -            
ostree-remount.service                       disabled        disabled     
packagekit-background.service                static          -            
packagekit.service                           static          -            
pcscd.service                                indirect        disabled     
plymouth-halt.service                        static          -            
plymouth-kexec.service                       static          -            
plymouth-poweroff.service                    static          -            
plymouth-quit-wait.service                   static          -            
plymouth-quit.service                        static          -            
plymouth-read-write.service                  static          -            
plymouth-reboot.service                      static          -            
plymouth-start.service                       static          -            
plymouth-switch-root.service                 static          -            
polkit.service                               static          -            
postfix.service                              enabled         enabled      
pppoe-server.service                         disabled        disabled     
pppoe.service                                disabled        disabled     
pullin-bcm43xx-firmware.service              disabled        disabled     
purge-kernels.service                        enabled         enabled      
quotaon.service                              static          -            
raw.service                                  disabled        disabled     
rc-local.service                             static          -            
rescue.service                               static          -            
rpc-gssd.service                             static          -            
rpc-statd-notify.service                     static          -            
rpc-statd.service                            static          -            
rpc-svcgssd.service                          static          -            
rpcbind.service                              disabled        disabled     
rpmconfigcheck.service                       disabled        disabled     
rsyncd.service                               disabled        disabled     
rsyncd@.service                              static          -            
rsyslog.service                              enabled         enabled      
rtkit-daemon.service                         disabled        disabled     
saned@.service                               indirect        disabled     
sddm.service                                 disabled        disabled     
serial-getty@.service                        disabled        disabled     
shadow.service                               static          -            
smartd.service                               enabled         enabled      
smartd_generate_opts.service                 disabled        disabled     
smb.service                                  disabled        disabled     
snapper-boot.service                         static          -            
snapper-cleanup.service                      static          -            
snapper-timeline.service                     static          -            
snapperd.service                             static          -            
snmpd.service                                disabled        disabled     
snmptrapd.service                            disabled        disabled     
sound-extra.service                          static          -            
sshd.service                                 disabled        disabled     
svnserve.service                             disabled        disabled     
syslog.service                               alias           -            
system-update-cleanup.service                static          -            
systemd-ask-password-console.service         static          -            
systemd-ask-password-plymouth.service        static          -            
systemd-ask-password-wall.service            static          -            
systemd-backlight@.service                   static          -            
systemd-binfmt.service                       static          -            
systemd-bless-boot.service                   static          -            
systemd-boot-check-no-failures.service       disabled        disabled     
systemd-boot-system-token.service            static          -            
systemd-exit.service                         static          -            
systemd-firstboot.service                    static          -            
systemd-fsck-root.service                    static          -            
systemd-fsck@.service                        static          -            
systemd-halt.service                         static          -            
systemd-hibernate-resume@.service            static          -            
systemd-hibernate.service                    static          -            
systemd-hostnamed.service                    static          -            
systemd-hwdb-update.service                  static          -            
systemd-hybrid-sleep.service                 static          -            
systemd-initctl.service                      static          -            
systemd-journal-catalog-update.service       static          -            
systemd-journal-flush.service                static          -            
systemd-journald.service                     static          -            
systemd-journald@.service                    static          -            
systemd-kexec.service                        static          -            
systemd-localed.service                      static          -            
systemd-logind.service                       static          -            
systemd-machine-id-commit.service            static          -            
systemd-modules-load.service                 static          -            
systemd-poweroff.service                     static          -            
systemd-quotacheck.service                   static          -            
systemd-random-seed.service                  static          -            
systemd-reboot.service                       static          -            
systemd-remount-fs.service                   enabled-runtime disabled     
systemd-rfkill.service                       static          -            
systemd-suspend-then-hibernate.service       static          -            
systemd-suspend.service                      static          -            
systemd-sysctl.service                       static          -            
systemd-sysusers.service                     static          -            
systemd-time-wait-sync.service               disabled        disabled     
systemd-timedated.service                    static          -            
systemd-timesyncd.service                    disabled        disabled     
systemd-tmpfiles-clean.service               static          -            
systemd-tmpfiles-setup-dev.service           static          -            
systemd-tmpfiles-setup.service               static          -            
systemd-udev-settle.service                  static          -            
systemd-udev-trigger.service                 static          -            
systemd-udevd.service                        static          -            
systemd-update-done.service                  static          -            
systemd-update-utmp-runlevel.service         static          -            
systemd-update-utmp.service                  static          -            
systemd-user-sessions.service                static          -            
systemd-vconsole-setup.service               static          -            
systemd-volatile-root.service                static          -            
tlp.service                                  disabled        disabled     
tuned.service                                disabled        disabled     
udisks2.service                              disabled        disabled     
upower.service                               disabled        disabled     
usb_modeswitch@.service                      static          -            
usbmuxd.service                              static          -            
user-runtime-dir@.service                    static          -            
user@.service                                static          -            
wacom-inputattach@.service                   static          -            
wicked.service                               disabled        disabled     
wickedd-auto4.service                        disabled        disabled     
wickedd-dhcp4.service                        disabled        disabled     
wickedd-dhcp6.service                        disabled        disabled     
wickedd-nanny.service                        disabled        disabled     
wickedd-pppd@.service                        static          -            
wickedd.service                              indirect        disabled     
wpa_supplicant.service                       disabled        disabled     
wpa_supplicant@.service                      disabled        disabled     
xdm.service                                  alias           -            
xvnc@.service                                static          -            
yast-timesync.service                        static          -            
YaST2-Firstboot.service                      enabled         enabled      
YaST2-Second-Stage.service                   enabled         enabled      

256 unit files listed.
